flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2897.0,2807.0,2875.0,3123.0,3023.0,0.992676,-0.048889,-0.110352,0.001648,-1.0,-1.0,0.0,1999.0,-885.0,7767.0,205.0,-86.0,-186.0,240.0,-100.0,-127.0,0.218926,-0.097426,0.97084,3986.0,-1776.0,15476.0,-3.0,-8.0,5.0
2896.0,2807.0,2870.0,3123.0,3023.0,0.992615,-0.04895,-0.110474,0.001648,-1.0,-1.0,0.0,2001.0,-888.0,7759.0,205.0,-88.0,-192.0,241.0,-103.0,-132.0,0.219154,-0.097541,0.970686,4014.0,-1776.0,15488.0,0.0,-5.0,4.0
2895.0,2803.0,2874.0,3121.0,3024.0,0.992615,-0.049072,-0.110718,0.001709,0.0,-1.0,0.0,2002.0,-890.0,7759.0,202.0,-88.0,-192.0,238.0,-103.0,-133.0,0.219632,-0.097798,0.97062,4004.0,-1810.0,15550.0,1.0,-1.0,5.0
2895.0,2803.0,2867.0,3119.0,3023.0,0.992615,-0.049133,-0.11084,0.001709,-1.0,-1.0,0.0,2001.0,-891.0,7761.0,199.0,-88.0,-190.0,235.0,-103.0,-132.0,0.219875,-0.09792,0.970587,3992.0,-1778.0,15496.0,0.0,-3.0,5.0
2896.0,2807.0,2874.0,3123.0,3023.0,0.992554,-0.049255,-0.111145,0.00177,0.0,-1.0,0.0,2002.0,-893.0,7748.0,195.0,-88.0,-201.0,233.0,-104.0,-143.0,0.22046,-0.098171,0.970387,4046.0,-1784.0,15470.0,2.0,-4.0,3.0
2896.0,2786.0,2870.0,3121.0,3025.0,0.992554,-0.049255,-0.111267,0.00177,-1.0,-1.0,0.0,1996.0,-896.0,7750.0,188.0,-91.0,-199.0,226.0,-107.0,-142.0,0.220703,-0.098171,0.97036,3942.0,-1824.0,15506.0,-1.0,-5.0,3.0
2896.0,2805.0,2871.0,3121.0,3023.0,0.992493,-0.049438,-0.111511,0.001831,-1.0,-1.0,0.0,2000.0,-894.0,7748.0,188.0,-86.0,-199.0,226.0,-102.0,-143.0,0.221167,-0.098543,0.970166,4034.0,-1778.0,15494.0,-5.0,-7.0,2.0
2895.0,2805.0,2877.0,3121.0,3027.0,0.992493,-0.0495,-0.111694,0.001831,-1.0,-1.0,0.0,2002.0,-894.0,7748.0,187.0,-85.0,-199.0,225.0,-101.0,-143.0,0.22153,-0.098665,0.970119,3998.0,-1790.0,15534.0,-3.0,-8.0,0.0
2896.0,2805.0,2871.0,3123.0,3023.0,0.992432,-0.049622,-0.112,0.001831,-1.0,-1.0,0.0,2011.0,-889.0,7747.0,191.0,-78.0,-198.0,229.0,-94.0,-141.0,0.222122,-0.098902,0.969918,4016.0,-1740.0,15504.0,-4.0,-5.0,0.0
2895.0,2805.0,2874.0,3122.0,3025.0,0.992432,-0.049683,-0.112122,0.001831,-1.0,-1.0,-1.0,2008.0,-895.0,7746.0,186.0,-83.0,-199.0,225.0,-99.0,-143.0,0.222364,-0.099024,0.969884,4004.0,-1862.0,15480.0,-6.0,-5.0,-1.0
